PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31926534","REPEATED USE OF A THIAFENTANIL-BASED ANESTHESIA PROTOCOL IN AN OKAPI (OKAPIA JOHNSTONI)","McFarland A, Mama KR, Kinney ME, Thurber MI, Clancy MM, Lamberski N, Oosterhuis JE, Howard LL.","J Zoo Wildl Med. 2020 Jan 9;50(4):993-996. doi: 10.1638/2019-0037.","McFarland A","J Zoo Wildl Med","2020","2020/01/13","","","10.1638/2019-0037"
"31887090","Sedative and cardiorespiratory effects of intramuscular administration of alfaxalone and butorphanol combined with acepromazine, midazolam, or dexmedetomidine in dogs","Murdock MA, Riccó Pereira CH, Aarnes TK, Cremer J, Lerche P, Bednarski RM.","Am J Vet Res. 2020 Jan;81(1):65-76. doi: 10.2460/ajvr.81.1.65.","Murdock MA","Am J Vet Res","2020","2019/12/31","","","10.2460/ajvr.81.1.65"
"31763939","Comparison of intramuscular administration of alfaxalone-ketamine-dexmedetomidine and alfaxalone-butorphanol-midazolam in naked mole-rats (Heterocephalus glaber)","Eshar D, Huckins GL, Shrader TC, Beaufrère H.","Am J Vet Res. 2019 Dec;80(12):1089-1098. doi: 10.2460/ajvr.80.12.1089.","Eshar D","Am J Vet Res","2019","2019/11/26","","","10.2460/ajvr.80.12.1089"
"31741653","Effect of midazolam, medetomidine, and butorphanol tartrate combination anesthetic on electroretinograms of mice","Miwa Y, Tsubota K, Kurihara T.","Mol Vis. 2019 Oct 31;25:645-653. eCollection 2019.","Miwa Y","Mol Vis","2019","2019/11/20","PMC6828994","",""
"31603562","Examination of laryngeal function of healthy dogs by using sedation protocols with dexmedetomidine","DeGroot WD, Tobias KM, Browning DC, Zhu X.","Vet Surg. 2020 Jan;49(1):124-130. doi: 10.1111/vsu.13334. Epub 2019 Oct 11.","DeGroot WD","Vet Surg","2020","2019/10/12","","","10.1111/vsu.13334"
"31567764","A Small Dose of Butorphanol Prevents Sufentanil-induced Cough During General Anesthesia Induction","Yin F, Zhang T.","J Craniofac Surg. 2019 Nov-Dec;30(8):2499-2501. doi: 10.1097/SCS.0000000000005967.","Yin F","J Craniofac Surg","2019","2019/10/01","","","10.1097/SCS.0000000000005967"
"31513300","Synovial butorphanol concentrations and mechanical nociceptive thresholds after intravenous regional limb perfusion in standing sedated horses","Crabtree NE, Mochal-King CA, Sloan PB, Eddy AL, Wills RW, Meredith AN, Fontenot RL.","Vet Surg. 2019 Nov;48(8):1473-1482. doi: 10.1111/vsu.13309. Epub 2019 Sep 12.","Crabtree NE","Vet Surg","2019","2019/09/13","","","10.1111/vsu.13309"
"31449445","Evaluation of the effects of commonly used α(2)-adrenergic receptor agonists alone and in combination with butorphanol tartrate on objective measurements of lameness in horses","Moorman VJ, Bass L, King MR.","Am J Vet Res. 2019 Sep;80(9):868-877. doi: 10.2460/ajvr.80.9.868.","Moorman VJ","Am J Vet Res","2019","2019/08/27","","","10.2460/ajvr.80.9.868"
"31176572","Compared to etorphine-azaperone, the ketamine-butorphanol-medetomidine combination is also effective at immobilizing zebra (Equus zebra)","Stemmet GP, Meyer LC, Bruns A, Buss P, Zimmerman D, Koeppel K, Zeiler GE.","Vet Anaesth Analg. 2019 Jul;46(4):466-475. doi: 10.1016/j.vaa.2019.01.008. Epub 2019 Feb 11.","Stemmet GP","Vet Anaesth Analg","2019","2019/06/10","","","10.1016/j.vaa.2019.01.008"
"31171446","The antinociceptive effects of intravenous administration of three doses of butorphanol tartrate or naloxone hydrochloride following hydromorphone hydrochloride to healthy conscious cats","Simon BT, Scallan EM, Baetge CL, Coursey CD, Lizarraga I.","Vet Anaesth Analg. 2019 Jul;46(4):538-547. doi: 10.1016/j.vaa.2019.04.006. Epub 2019 Apr 30.","Simon BT","Vet Anaesth Analg","2019","2019/06/08","","","10.1016/j.vaa.2019.04.006"
"31114161","Effect of butorphanol on etomidate-induced myoclonus: a systematic review and meta-analysis","Hua J, Miao S, Shi M, Tu Q, Wang X, Liu S, Wang G, Gan J.","Drug Des Devel Ther. 2019 Apr 16;13:1213-1220. doi: 10.2147/DDDT.S191982. eCollection 2019.","Hua J","Drug Des Devel Ther","2019","2019/05/23","PMC6489683","","10.2147/DDDT.S191982"
"31112641","Effects of Midazolam and Midazolam-Butorphanol on Gastrointestinal Transit Time and Motility in Cockatiels (Nymphicus hollandicus)","Martel A, Mans C, Doss GA, Williams JM.","J Avian Med Surg. 2018 Dec 1;32(4):286-293. doi: 10.1647/2017-266.","Martel A","J Avian Med Surg","2018","2019/05/22","","","10.1647/2017-266"
"31112640","Comparison of the Sedative Effects of Alfaxalone and Butorphanol-Midazolam Administered Intramuscularly in Budgerigars (Melopsittacus undulatus)","Escalante GC, Balko JA, Chinnadurai SK.","J Avian Med Surg. 2018 Dec 1;32(4):279-285. doi: 10.1647/2017-328.","Escalante GC","J Avian Med Surg","2018","2019/05/22","","","10.1647/2017-328"
