PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31267482","Naldemedine: A Review in Opioid-Induced Constipation","Blair HA.","Drugs. 2019 Jul;79(11):1241-1247. doi: 10.1007/s40265-019-01160-7.","Blair HA","Drugs","2019","2019/07/04","","","10.1007/s40265-019-01160-7"
"31183560","A preliminary study of the effect of naldemedine tosylate on opioid-induced nausea and vomiting","Sato J, Tanaka R, Ishikawa H, Suzuki T, Shino M.","Support Care Cancer. 2020 Mar;28(3):1083-1088. doi: 10.1007/s00520-019-04884-0. Epub 2019 Jun 11.","Sato J","Support Care Cancer","2020","2019/06/12","","","10.1007/s00520-019-04884-0"
"30851171","Efficacy of naldemedine for the treatment of opioid-induced constipation: A meta-analysis","Esmadi M, Ahmad D, Hewlett A.","J Gastrointestin Liver Dis. 2019 Mar;28(1):41-46. doi: 10.15403/jgld.2014.1121.281.any.","Esmadi M","J Gastrointestin Liver Dis","2019","2019/03/10","","","10.15403/jgld.2014.1121.281.any"
"30821019","Pharmacologic effects of naldemedine, a peripherally acting μ-opioid receptor antagonist, in in vitro and in vivo models of opioid-induced constipation","Kanemasa T, Koike K, Arai T, Ono H, Horita N, Chiba H, Nakamura A, Morioka Y, Kihara T, Hasegawa M.","Neurogastroenterol Motil. 2019 May;31(5):e13563. doi: 10.1111/nmo.13563. Epub 2019 Feb 28.","Kanemasa T","Neurogastroenterol Motil","2019","2019/03/02","PMC6850587","","10.1111/nmo.13563"
"30770183","Minimal contribution of P-gp on the low brain distribution of naldemedine, a peripherally acting μ-opioid receptor antagonist","Watari R, Matsuda A, Ohnishi S, Hasegawa H.","Drug Metab Pharmacokinet. 2019 Apr;34(2):126-133. doi: 10.1016/j.dmpk.2018.12.002. Epub 2018 Dec 23.","Watari R","Drug Metab Pharmacokinet","2019","2019/02/17","","","10.1016/j.dmpk.2018.12.002"
"30652502","A meta-analysis of naldemedine for the treatment of opioid-induced constipation","Song X, Wang D, Qu X, Dong N, Teng S.","Expert Rev Clin Pharmacol. 2019 Feb;12(2):121-128. doi: 10.1080/17512433.2019.1570845. Epub 2019 Jan 24.","Song X","Expert Rev Clin Pharmacol","2019","2019/01/18","","","10.1080/17512433.2019.1570845"
"30446313","Discovery of naldemedine: A potent and orally available opioid receptor antagonist for treatment of opioid-induced adverse effects","Inagaki M, Kume M, Tamura Y, Hara S, Goto Y, Haga N, Hasegawa T, Nakamura T, Koike K, Oonishi S, Kanemasa T, Kai H.","Bioorg Med Chem Lett. 2019 Jan 1;29(1):73-77. doi: 10.1016/j.bmcl.2018.11.007. Epub 2018 Nov 7.","Inagaki M","Bioorg Med Chem Lett","2019","2018/11/18","","","10.1016/j.bmcl.2018.11.007"
"30351180","Absorption, distribution, metabolism, and excretion of radiolabeled naldemedine in healthy subjects","Ohnishi S, Fukumura K, Kubota R, Wajima T.","Xenobiotica. 2019 Sep;49(9):1044-1053. doi: 10.1080/00498254.2018.1536815. Epub 2019 Jan 4.","Ohnishi S","Xenobiotica","2019","2018/10/24","","","10.1080/00498254.2018.1536815"
"30280262","Population Pharmacokinetics and Exposure-Response Relationships of Naldemedine","Kubota R, Fukumura K, Wajima T.","Pharm Res. 2018 Oct 2;35(11):225. doi: 10.1007/s11095-018-2501-7.","Kubota R","Pharm Res","2018","2018/10/04","PMC6182381","","10.1007/s11095-018-2501-7"
"30189347","Opioid receptors in the GI tract: targets for treatment of both diarrhea and constipation in functional bowel disorders?","Pannemans J, Corsetti M.","Curr Opin Pharmacol. 2018 Dec;43:53-58. doi: 10.1016/j.coph.2018.08.008. Epub 2018 Sep 3.","Pannemans J","Curr Opin Pharmacol","2018","2018/09/07","","","10.1016/j.coph.2018.08.008"
"30042276","[A New Twist on the Administration of Naldemedine for Opioid-Induced Constipation in an Outpatient]","Shikada Y, Emi Y, Kometani T, Ochiai T, Fujii M, Noda Y, Kajiwara M, Ikeda M, Asonuma S, Mori M.","Gan To Kagaku Ryoho. 2018 Jul;45(7):1075-1079.","Shikada Y","Gan To Kagaku Ryoho","2018","2018/07/26","","",""
