PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30764617","Comparison of incisional and epidural analgesia in the treatment of postoperative pain after cesarean section","Meixnerová I, Huser M, Seidlová D, Janků P, Štourač P, Gál R.","Ceska Gynekol. 2018 Winter;83(3):182-187.","Meixnerová I","Ceska Gynekol","2018","2019/02/16","","",""
"30699235","Interventions to reduce shoulder pain following gynaecological laparoscopic procedures","Kaloo P, Armstrong S, Kaloo C, Jordan V.","Cochrane Database Syst Rev. 2019 Jan 30;1(1):CD011101. doi: 10.1002/14651858.CD011101.pub2.","Kaloo P","Cochrane Database Syst Rev","2019","2019/01/31","PMC6353625","","10.1002/14651858.CD011101.pub2"
"30663045","A comparison of sufentanil vs. remifentanil in fast-track cardiac surgery patients","Zakhary WZA, Turton EW, Flo Forner A, von Aspern K, Borger MA, Ender JK.","Anaesthesia. 2019 May;74(5):602-608. doi: 10.1111/anae.14572. Epub 2019 Jan 20.","Zakhary WZA","Anaesthesia","2019","2019/01/22","PMC6590640","","10.1111/anae.14572"
"30640245","Bupivacaine infiltration in children for postoperative analgesia after tonsillectomy: A randomised controlled trial","Teunkens A, Vermeulen K, Peters M, Fieuws S, Van de Velde M, Rex S.","Eur J Anaesthesiol. 2019 Mar;36(3):206-214. doi: 10.1097/EJA.0000000000000950.","Teunkens A","Eur J Anaesthesiol","2019","2019/01/15","","","10.1097/EJA.0000000000000950"
"30209595","[Oxycodone, piritramide and tramadol for the management of postoperative pain : A registry study on use and effectiveness in clinical routine]","Muraskaite I, Koscielny S, Komann M, Weinmann C, Meißner W.","Schmerz. 2018 Dec;32(6):427-433. doi: 10.1007/s00482-018-0322-6.","Muraskaite I","Schmerz","2018","2018/09/14","","","10.1007/s00482-018-0322-6"
"29873988","Opioid-free anesthesia: what about patient comfort? A prospective, randomized, controlled trial","Hontoir S, Saxena S, Gatto P, Khalife M, Ben Aziz AM, Paesmans M, Sosnowski M.","Acta Anaesthesiol Belg. 2016;67(4):183-190.","Hontoir S","Acta Anaesthesiol Belg","2016","2018/06/07","","",""
"29873987","Intraoperative administered tramadol reduces the need for piritramide in the immediate postoperative period in children undergoing adenotonsillectomy: A retrospective observational study","Teunkens A, Cootjans K, Vermeulen K, Peters M, Van de Velde M, Rex S.","Acta Anaesthesiol Belg. 2016;67(4):175-181.","Teunkens A","Acta Anaesthesiol Belg","2016","2018/06/07","","",""
"29219935","Intrathecal Morphine for Laparoscopic Segmental Colonic Resection as Part of an Enhanced Recovery Protocol: A Randomized Controlled Trial","Koning MV, Teunissen AJW, van der Harst E, Ruijgrok EJ, Stolker RJ.","Reg Anesth Pain Med. 2018 Feb;43(2):166-173. doi: 10.1097/AAP.0000000000000703.","Koning MV","Reg Anesth Pain Med","2018","2017/12/09","PMC5794252","","10.1097/AAP.0000000000000703"
"29119207","Anesthesia in a child with suspected peroxisomal disorder","Englbrecht JS, Maas M.","Anaesthesist. 2017 Dec;66(12):944-947. doi: 10.1007/s00101-017-0379-0. Epub 2017 Nov 8.","Englbrecht JS","Anaesthesist","2017","2017/11/10","","","10.1007/s00101-017-0379-0"
"28295465","Quantification of piritramide in human colostrum","Van Eeckhaut A, Vanfleteren P, Van Schoors J, Van Wanseele Y, Poelaert J, Michotte Y.","J Clin Pharm Ther. 2017 Jun;42(3):306-310. doi: 10.1111/jcpt.12515. Epub 2017 Mar 13.","Van Eeckhaut A","J Clin Pharm Ther","2017","2017/03/16","","","10.1111/jcpt.12515"
"28265754","[Piritramide : A critical review]","Hinrichs M, Weyland A, Bantel C.","Schmerz. 2017 Aug;31(4):345-352. doi: 10.1007/s00482-017-0197-y.","Hinrichs M","Schmerz","2017","2017/03/08","","","10.1007/s00482-017-0197-y"
"27470494","Prediction of postoperative opioid analgesia using clinical-experimental parameters and electroencephalography","Gram M, Erlenwein J, Petzke F, Falla D, Przemeck M, Emons MI, Reuster M, Olesen SS, Drewes AM.","Eur J Pain. 2017 Feb;21(2):264-277. doi: 10.1002/ejp.921. Epub 2016 Jul 29.","Gram M","Eur J Pain","2017","2016/07/30","","","10.1002/ejp.921"
"27327855","The effects of minimal-dose versus low-dose S-ketamine on opioid consumption, hyperalgesia, and postoperative delirium: a triple-blinded, randomized, active- and placebo-controlled clinical trial","Bornemann-Cimenti H, Wejbora M, Michaeli K, Edler A, Sandner-Kiesling A.","Minerva Anestesiol. 2016 Oct;82(10):1069-1076. Epub 2016 Jun 21.","Bornemann-Cimenti H","Minerva Anestesiol","2016","2016/06/22","","",""
"26754752","Continuous adductor canal block versus continuous femoral nerve block after total knee arthroplasty for mobilisation capability and pain treatment: a randomised and blinded clinical trial","Wiesmann T, Piechowiak K, Duderstadt S, Haupt D, Schmitt J, Eschbach D, Feldmann C, Wulf H, Zoremba M, Steinfeldt T.","Arch Orthop Trauma Surg. 2016 Mar;136(3):397-406. doi: 10.1007/s00402-015-2403-7. Epub 2016 Jan 11.","Wiesmann T","Arch Orthop Trauma Surg","2016","2016/01/13","","","10.1007/s00402-015-2403-7"
"26681082","OPRM1 and ABCB1 polymorphisms and their effect on postoperative pain relief with piritramide","Bartošová O, Polanecký O, Perlík F, Adámek S, Slanař O.","Physiol Res. 2015;64(Suppl 4):S521-7. doi: 10.33549/physiolres.933210.","Bartošová O","Physiol Res","2015","2015/12/19","","","10.33549/physiolres.933210"
"25413485","Comparing cold-air analgesia, systemically administered analgesia and scalp nerve blocks for pain management during photodynamic therapy for actinic keratosis of the scalp presenting as field cancerization: a randomized controlled trial","Klein A, Karrer S, Horner C, Werner A, Heinlin J, Zeman F, Koller M, Landthaler M, Szeimies RM, Gruber M, Graf B, Hansen E, Kerscher C.","Br J Dermatol. 2015 Jul;173(1):192-200. doi: 10.1111/bjd.13547. Epub 2015 May 12.","Klein A","Br J Dermatol","2015","2014/11/22","","","10.1111/bjd.13547"
"25179415","[Piritramide versus oxycodone for patient-controlled intravenous analgesia. Opioid-induced side effects]","Sebastian H.","Schmerz. 2014 Dec;28(6):614-21. doi: 10.1007/s00482-014-1478-3.","Sebastian H","Schmerz","2014","2014/09/03","","","10.1007/s00482-014-1478-3"
